customerid,name,meterid,accountnum,phonenumber,cnttype,drflag
100,Customer1,403556200,1,931-111-1111,1,0
101,Customer2,403556200,1,931-111-1111,1,0
102,Customer3,404117700,1,931-111-1111,1,0
103,Customer4,404117700,2,931-111-1111,1,0
104,Customer5,404117700,2,931-111-1111,1,0
105,Customer6,400595800,2,931-111-1111,1,0
106,Customer7,400123700,3,931-111-1111,1,0
107,Customer8,400123700,3,931-111-1111,1,0
108,Customer9,391110,4,931-111-1111,1,0
109,Customer10,380110,4,931-111-1111,1,0
110,Customer11,400598000,4,931-111-1111,1,0
111,Customer12,142510,4,931-111-1111,1,0
112,Customer13,142510,4,931-111-1111,1,0
113,Customer14,142510,4,931-111-1111,1,0
114,Customer15,142510,4,931-111-1111,1,0
